Experiment Number,Average,Stdev,CV
1,0.0004232954545454546,0.0026142102977130123,6.175852515402552
2,-0.0012715909090909088,0.0020507118956588867,-1.6127135551204832
3,-5.994318181818188e-05,0.0016932656495520654,-28.247844011484663
4,-0.00016392045454545462,0.0025079624862984397,-15.299875133051133
5,0.00021420454545454545,0.0022710874700813946,10.60242426350996
6,-0.0008997159090909091,0.0022891556075060023,-2.5443093585163017
7,1.8181818181817914e-05,0.002394668189264875,131.70675040957005
8,0.000523153409090909,0.0026398706727269574,5.046073726852507
9,-0.0002806818181818182,0.0025647890036470523,-9.137709810564395
10,-0.000146590909090909,0.0026316355153959705,-17.952242275569425
11,-0.0016644886363636363,0.0025955365411897005,-1.5593597243536006
12,-0.00039403409090909105,0.0025143153198356177,-6.380958850628241
