Experiment Number,Average,Stdev,CV
1,0.0010191761363636362,0.0026325152061428643,2.582983561149236
2,-0.0011170454545454548,0.002867470263237932,-2.5670130535598976
3,-0.00014872159090909096,0.0018662285634154744,-12.54847095171436
4,0.001084375,0.0022295085810400093,2.0560309681060605
5,-0.0003460227272727273,0.0024324210609736833,-7.029656924981415
6,-0.0002724431818181819,0.002537266182457535,-9.313010388165297
7,0.0012900568181818184,0.003665906314396208,2.841662679294131
8,0.001622159090909091,0.003383569223031035,2.0858430236548586
9,-0.0003838068181818182,0.0020442712911150312,-5.3263026977978605
10,0.0008835227272727275,0.0023468917031137593,2.656289001594994
11,-0.0003877840909090909,0.002512310907615855,-6.4786332562694575
12,-0.00010241477272727289,0.002715985338251175,-26.519468489997564
13,0.0006987215909090909,0.002331790109363657,3.337223494596492
14,0.0001826704545454547,0.002604495334536574,14.257890478333954
15,-0.0010311079545454545,0.0025212266917743254,-2.4451626822002
